config,latency(ms),power(mWatt)
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07345275000000001,0.026157763636340797
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07344075,0.025855574361985573
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.07344475,0.02595631509213486
layer-width_56-height_56-cin_16-cout_24-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07345275000000001,0.026157763636340797
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07344175,0.026068881889719453
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.0734465,0.026186366809882893
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07345575000000001,0.026421380990018936
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07344175,0.026068881889719453
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.0734465,0.026186366809882893
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07345575000000001,0.026421380990018936
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07344175,0.026068881889719453
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.0734465,0.026186366809882893
layer-width_56-height_56-cin_16-cout_28-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07345575000000001,0.026421380990018936
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.07344275,0.026282183608642318
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.073448125,0.02641645252266216
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.07345874999999999,0.026684976811828895
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.07344275,0.026282183608642318
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.073448125,0.02641645252266216
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_8,0.07345874999999999,0.026684976811828895
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_2,0.07344275,0.026282183608642318
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_4,0.073448125,0.02641645252266216
layer-width_56-height_56-cin_16-cout_32-kernel_3-stride_1-pad_SAME-group_1-fb_8-wb_8,0.07345874999999999,0.026684976811828895
layer-width_56-height_56-cin_16-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_2,0.140352125,0.026424983857132427
layer-width_56-height_56-cin_16-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_4,0.140362875,0.02656549155803564
layer-width_56-height_56-cin_16-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_2-wb_8,0.140384125,0.026846490212079698
layer-width_56-height_56-cin_16-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_2,0.140352125,0.026424983857132427
layer-width_56-height_56-cin_16-cout_36-kernel_3-stride_1-pad_SAME-group_1-fb_4-wb_4,0.140362875,0.02656549155803564
